Resource type,Cloud Provider ,Alert/Finding Name - VMSS,Equivalent in WIZ ?,Expected Configuration in WIZ ,Is the Rule even relevant  today?,If Obsolete : Reasons,Division/Project,No of supresisons for that particular rule as per Project,VM Ware DocumentationLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EBS volume snapshots should be encrypted,EBS Volume Snapshot should be encrypted,This rule checks if unencrypted EBS Snapshots exist.,,,,"Commodity Insights -1208
Ratings -721",https://docs.securestate.vmware.com/rule-docs/ec2-ebs-snapshots-encrypted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EBS Volume is not encrypted and attached to an instance.  This excludes the root volume.,,,,,,DTS -145,https://confluence-prod.mhf.mhc/display/SA/AWS+and+Encryption+Usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EBS volume should be encrypted with a customer master key,EBS volume should be encrypted with a customer-managed key,This rule checks whether the EBS volume is encrypted with a customer-managed key. Customer-managed keys with EBS volumes provide full control over who can use the keys and access the data encrypted on the volume,,,,SPDJI - 32,https://docs.securestate.vmware.com/rule-docs/ec2-ebs-volume-not-encrypted-with-customer-managed-keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 instance should be configured to use IMDSv2,EC2 instance should use instance metadata service v2 (IMDSv2) / EC2 instance should use IMDSv2,This rule checks whether the EC2 instance only allows the use of the Instance Metadata Service Version 2 (IMDSv2).,,,,"Ratings -3265
DTS -66
SPDJI -17
Sustainable1 - 8",https://docs.securestate.vmware.com/rule-docs/ec2-imdsv2-not-enforced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 instance should not be created from a public Amazon Machine Image,,,,,,"Commodity Insights -54
DTS -19
SPDJI -7",https://docs.securestate.vmware.com/rule-docs/public-ami-used-by-ec2-instances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 instance should not have a public IP address,EC2 instance should not have a public IP address,This rule checks if an EC2 instance has a Public IP Address.,Yes ,,,"Commodity Insights -26
DTS -4",https://docs.securestate.vmware.com/rule-docs/public-instance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 instance should not have administrator permissions,,,,,,DTS-1 ,https://docs.securestate.vmware.com/rule-docs/iam-instance-role-is-admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 instance should not have elevated S3 privileges when configured for public access,,,,,,MI - 1,https://docs.securestate.vmware.com/rule-docs/instance-has-public-access-and-full-s3-privileges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 instance should not use default VPC,EC2 instance should not use the default VPC,This rule checks if the EC2 Instance is configured under a default VPC network.,Yes ,,,"Commodity Insights -10
DTS -1",https://docs.securestate.vmware.com/rule-docs/ec2-has-default-vpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should be attached to at least one instance or group,Unused Security Group should be deleted,Scope of both controls is Unused SG should be deleted.,Yes ,,,"Commodity Insights -541
DTS -103
SPDJI -448
Ratings -128
Sustainable1 - 2",https://docs.securestate.vmware.com/rule-docs/ec2-not-used-security-groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should not define a port range,EC2 Security Group should restrict inbound traffic to specific ports,"This rule checks if the EC2 Security Group allows outbound/inbound traffic to a range of ports.
It is recommended to restrict the ports of the  traffic and limit it to the required ports only.",Yes ,,,SPDJI -13,https://docs.securestate.vmware.com/rule-docs/ec2-ports-range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access,EC2 Security Group should restrict uncommon ports access,"This rule checks whether the EC2 Security Group allows unrestricted inbound access over uncommon ports.
This rule fails if a Security Group allows all IP addresses (0.0.0.0/0,::/0) access over uncommon ports. ",Yes ,,,"Commodity Insights -363
DTS -4
SPDJI -28
Sustainable1 - 3",https://docs.securestate.vmware.com/rule-docs/ec2-unrestricted-traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access to WinRM ports (5985/5986),,,,,,Commodity Insights - 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access over IPv4 to Redshift port (5439),,,,,,Commodity Insights - 3,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-5439-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access over IPv4 to SSH port (22),EC2 Security Group should restrict SSH access (TCP:22),"This rule checks whether the Security Group allows unrestricted SSH access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP port 22",Yes ,,,"Commodity Insights - 19
DTS - 4",https://docs.securestate.vmware.com/rule-docs/ec2-TCP-22-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access to SMB ports (445/139),EC2 Security Group should restrict SMB access (TCP:445),"This rule checks whether the Security Group allows unrestricted SMB access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP port 445.",Yes ,,,Commodity Insights - 4,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-139-or-445-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access to FTP control port (21),EC2 Security Group should restrict FTP access (TCP:21),"This rule checks whether the Security Group allows unrestricted FTP (File Transfer Protocol) access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP port 21.",Yes ,,,"Commodity Insights - 3
DTS-4 ",https://docs.securestate.vmware.com/rule-docs/ec2-TCP-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access over IPv4 to TCP port (8080),"EC2 Security Group should restrict RethinkDB access (TCP:28015,29015,8080, UDP:28015,29015)","This rule checks whether the Security Group allows unrestricted RethinkDB access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP ports: 8080, 28015, 29015, or UDP ports: 28015, 29015.",Yes ,,,Commodity Insights - 12,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-8080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access over IPv4 to MySQL Server port (3306),EC2 Security Group should restrict MySQL access (TCP:3306),"This rule checks whether the Security Group allows unrestricted MySQL access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP port 3306.",Yes ,,,Commodity Insights - 11,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-3306-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access over IPv4 to SQL Server port (1433),EC2 Security Group should restrict MSSQL access (TCP:1433),"This rule checks whether the Security Group allows unrestricted MSSQL access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP port 1433.",Yes ,,,Commodity Insights - 4,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-1433-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access over IPv4 to MongoDB server port (27017),EC2 Security Group should restrict MongoDB access (TCP:27017-27020),"This rule checks whether the Security Group allows unrestricted MongoDB access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP ports 27017-27020.",Yes ,,,Commodity Insights - 3,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-27017-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access over IPv4 to Oracle SQL port (1521),"EC2 Security Group should restrict Oracle DB access (TCP:1521,1830,2483,2484)","This rule checks whether the Security Group allows unrestricted Oracle DB access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP ports 1521, 1830, 2483, or 8098.",Yes ,,,Commodity Insights - 9,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-1521-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access over IPv4 to Remote Desktop port (3389),EC2 Security Group should restrict RDP access (TCP:3389),"This rule checks whether the Security Group allows unrestricted RDP access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP port 3389.",Yes ,,,Commodity Insights - 3,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-3389-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access over IPv4 to Kibana port (5601),EC2 Security Group should restrict Kibana access (TCP:5601),"This rule checks whether the Security Group allows unrestricted Kibana access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP port 5601.",Yes ,,,Commodity Insights - 4,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-5601-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access over IPv4 to PostgreSQL Server port (5432),EC2 Security Group should restrict PostgreSQL access (TCP:5432),"This rule checks whether the Security Group allows unrestricted PostgreSQL access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP port 54",Yes ,,,Commodity Insights - 4,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-5432-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access over IPv4 to Redis Cache port (6379),EC2 Security Group should restrict Redis access (TCP:6379),"This rule checks whether the Security Group allows unrestricted Redis access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP port 6379.",Yes ,,,Commodity Insights - 3,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-6379-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access to Telnet port (23),EC2 Security Group should restrict Telnet access (TCP:23),"This rule checks whether the Security Group allows unrestricted Telnet access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP port 23.",Yes ,,,Commodity Insights - 3,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access to Elasticsearch port (9200 and 9300),"EC2 Security Group should restrict ElasticSearch access (TCP:9200,9300)","This rule checks whether the Security Group allows unrestricted ElasticSearch (OpenSearch) access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP ports 9200 or 9300.",Yes ,,,Commodity Insights - 3,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-9300-or-9200-0.0.0.0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 security group should restrict public access to FTP data port (20),EC2 Security Group should restrict FTP Data access (TCP:20),"This rule checks whether the Security Group allows unrestricted FTP (File Transfer Protocol) Data access.
This rule fails if a Security Group inbound rule allows unrestricted access through TCP port 20.",Yes ,,,Commodity Insights - 3,https://docs.securestate.vmware.com/rule-docs/ec2-TCP-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
